"Id","Year","Tag_Date","Tag_Lat","Tag_Long","Sex","Size","Sp","Site"
54233,2020,"2020-07-15",44.04067,-64.6426,"M",0.113,"Cancer irroratus","Farm"
54303,2020,"2020-07-17",44.03002,-64.6717,"F",0.091,"Homarus americanus","Mersey Point"
15048,2019,"2019-07-20",44.0302,-64.67837,"M",0.11541,"Cancer irroratus","Mersey Point"
15100,2019,"2019-07-18",44.02694,-64.66988,"M",0.08228,"Homarus americanus","Mersey Point"
18035,2019,"2019-07-19",44.03226,-64.67587,"M",0.106,"Cancer irroratus","Mersey Point"
